Actual Value,Predicted Value
1013.0,1013.0
1013.0,1013.0
897.0,897.0
683.0,683.0
680.0,680.0
683.0,683.0
683.0,683.0
684.0,684.0
642.0,642.0
359.0,359.0
356.0,356.0
354.0,354.0
354.0,354.0
351.0,351.0
352.0,352.0
351.0,351.0
351.0,351.0
351.0,351.0
353.0,353.0
353.0,353.0
353.0,353.0
356.0,356.0
356.0,356.0
356.0,356.0
356.0,356.0
357.0,357.0
355.0,355.0
350.0,350.0
355.0,355.0
357.0,357.0
355.0,355.0
359.0,359.0
360.0,360.0
361.0,361.0
361.0,361.0
360.0,360.0
361.0,361.0
336.0,336.0
332.0,332.0
332.0,332.0
333.0,333.0
333.0,333.0
331.0,331.0
331.0,331.0
331.0,331.0
332.0,332.0
331.0,331.0
330.0,330.0
331.0,331.0
331.0,331.0
333.0,333.0
330.0,330.0
331.0,331.0
333.0,333.0
332.0,332.0
320.0,320.0
331.0,331.0
331.0,331.0
329.0,329.0
325.0,325.0
339.0,339.0
339.0,339.0
339.0,339.0
338.0,338.0
338.0,338.0
340.0,340.0
344.0,344.0
343.0,343.0
344.0,344.0
342.0,342.0
343.0,343.0
342.0,342.0
341.0,341.0
343.0,343.0
343.0,343.0
342.0,342.0
341.0,341.0
352.0,352.0
351.0,351.0
356.0,356.0
374.0,374.0
375.0,375.0
376.0,376.0
379.0,379.0
376.0,376.0
379.0,379.0
379.0,379.0
378.0,378.0
376.0,376.0
375.0,375.0
375.0,375.0
375.0,375.0
375.0,375.0
375.0,375.0
389.0,389.0
392.0,392.0
389.0,389.0
388.0,388.0
397.0,397.0
387.0,387.0
447.0,447.0
406.0,406.0
396.0,396.0
396.0,396.0
395.0,395.0
397.0,397.0
396.0,396.0
397.0,397.0
396.0,396.0
397.0,397.0
394.0,394.0
383.0,383.0
388.0,388.0
385.0,385.0
389.0,389.0
391.0,391.0
391.0,391.0
390.0,390.0
398.0,398.0
399.0,399.0
412.0,412.0
412.0,412.0
409.0,409.0
412.0,412.0
462.0,462.0
462.0,462.0
459.0,459.0
463.0,463.0
461.0,461.0
461.0,461.0
464.0,464.0
465.0,465.0
465.0,465.0
460.0,460.0
462.0,462.0
464.0,464.0
460.0,460.0
456.0,456.0
455.0,455.0
456.0,456.0
455.0,455.0
453.0,453.0
454.0,454.0
452.0,452.0
454.0,454.0
447.0,447.0
397.0,397.0
396.0,396.0
423.0,423.0
429.0,429.0
428.0,428.0
429.0,429.0
428.0,428.0
429.0,429.0
420.0,420.0
409.0,409.0
403.0,403.0
402.0,402.0
404.0,404.0
404.0,404.0
403.0,403.0
404.0,404.0
419.0,419.0
418.0,418.0
416.0,416.0
415.0,415.0
417.0,417.0
420.0,420.0
424.0,424.0
424.0,424.0
425.0,425.0
636.0,636.0
1082.0,1082.0
1084.0,1084.0
1096.0,1096.0
1118.0,1118.0
1236.0,1236.0
1332.0,1332.0
1523.0,1523.0
1551.0,1551.0
1543.0,1543.0
1672.0,1672.0
1646.0,1646.0
1640.0,1640.0
1667.0,1666.8333333333333
1713.0,1713.0
1553.0,1553.0
1567.0,1567.0
1554.0,1554.0
1517.0,1517.0
1548.0,1548.0
1518.0,1518.0
1537.0,1537.0
1506.0,1506.0
1526.0,1526.0
1508.0,1508.0
1581.0,1581.0
1364.0,1364.0
1372.0,1372.0
1372.0,1372.0
1369.0,1369.0
1367.0,1367.0
1366.0,1366.0
1359.0,1359.0
1344.0,1344.0
1346.0,1346.0
1340.0,1340.0
1102.0,1102.0
771.0,771.0
538.0,538.0
403.0,403.0
405.0,405.0
405.0,405.0
405.0,405.0
405.0,405.0
403.0,403.0
404.0,404.0
364.0,364.0
362.0,362.0
363.0,363.0
358.0,358.0
359.0,359.0
359.0,359.0
360.0,360.0
361.0,361.0
362.0,362.0
361.0,361.0
360.0,360.0
362.0,362.0
361.0,361.0
362.0,362.0
361.0,361.0
361.0,361.0
370.0,370.0
369.0,369.0
368.0,368.0
369.0,369.0
369.0,369.0
369.0,369.0
366.0,366.0
367.0,367.0
365.0,365.0
366.0,366.0
365.0,365.0
365.0,365.0
366.0,366.0
356.0,356.0
316.0,316.0
309.0,309.0
308.0,308.0
310.0,310.0
310.0,310.0
310.0,310.0
309.0,309.0
308.0,308.0
320.0,320.0
324.0,324.0
326.0,326.0
326.0,326.0
326.0,326.0
326.0,326.0
328.0,328.0
328.0,328.0
332.0,332.0
329.0,329.0
331.0,331.0
332.0,332.0
333.0,333.0
332.0,332.0
332.0,332.0
349.0,349.0
350.0,350.0
350.0,350.0
349.0,349.0
349.0,349.0
350.0,350.0
350.0,350.0
348.0,348.0
351.0,351.0
349.0,349.0
349.0,349.0
349.0,349.0
347.0,347.0
349.0,349.0
351.0,351.0
349.0,349.0
349.0,349.0
349.0,349.0
349.0,349.0
349.0,349.0
333.0,333.0
345.0,345.0
348.0,348.0
354.0,354.0
354.0,354.0
357.0,357.0
357.0,357.0
374.0,374.0
375.0,375.0
376.0,376.0
373.0,373.0
371.0,371.0
372.0,372.0
371.0,371.0
371.0,371.0
378.0,378.0
377.0,377.0
376.0,376.0
375.0,375.0
418.0,418.0
411.0,411.0
415.0,415.0
415.0,415.0
423.0,423.0
423.0,423.0
422.0,422.0
421.0,421.0
425.0,425.0
425.0,425.0
383.0,383.0
385.0,385.0
384.0,384.0
386.0,386.0
386.0,386.0
386.0,386.0
386.0,386.0
388.0,388.0
387.0,387.0
387.0,387.0
387.0,387.0
389.0,389.0
394.0,394.0
394.0,394.0
397.0,397.0
406.0,406.0
402.0,402.0
402.0,402.0
415.0,415.0
415.0,415.0
413.0,413.0
412.0,412.0
411.0,411.0
410.0,410.0
410.0,410.0
437.0,437.0
434.0,434.0
431.0,431.0
435.0,435.0
437.0,437.0
437.0,437.0
440.0,440.0
437.0,437.0
436.0,436.0
438.0,438.0
438.0,438.0
439.0,439.0
439.0,439.0
452.0,452.0
455.0,455.0
455.0,455.0
459.0,459.0
457.0,457.0
457.0,457.0
457.0,457.0
456.0,456.0
457.0,457.0
457.0,457.0
432.0,432.0
432.0,432.0
432.0,432.0
434.0,434.0
434.0,434.0
433.0,433.0
433.0,433.0
432.0,432.0
433.0,433.0
415.0,415.0
412.0,412.0
412.0,412.0
416.0,416.0
415.0,415.0
411.0,411.0
412.0,412.0
421.0,421.0
421.0,421.0
421.0,421.0
420.0,420.0
425.0,425.0
422.0,422.0
427.0,427.0
425.0,425.0
425.0,425.0
427.0,427.0
427.0,427.0
427.0,427.0
424.0,424.0
645.0,645.0
645.0,645.0
694.0,694.0
793.0,793.0
790.0,790.0
789.0,789.0
787.0,787.0
780.0,780.0
819.0,819.0
826.0,826.0
839.0,839.0
839.0,839.0
885.0,885.0
845.0,845.0
840.0,840.0
840.0,840.0
845.0,845.0
831.0,831.0
794.0,794.0
796.0,796.0
800.0,800.0
800.0,800.0
799.0,799.0
795.0,795.0
793.0,793.0
369.0,369.0
367.0,367.0
370.0,370.0
369.0,369.0
366.0,366.0
365.0,365.0
365.0,365.0
359.0,359.0
356.0,356.0
358.0,358.0
358.0,358.0
360.0,360.0
360.0,360.0
359.0,359.0
360.0,360.0
360.0,360.0
355.0,355.0
337.0,337.0
337.0,337.0
339.0,339.0
338.0,338.0
339.0,339.0
337.0,337.0
337.0,337.0
337.0,337.0
336.0,336.0
337.0,337.0
336.0,336.0
336.0,336.0
337.0,337.0
336.0,336.0
336.0,336.0
334.0,334.0
336.0,336.0
333.0,333.0
335.0,335.0
335.0,335.0
333.0,333.0
333.0,333.0
330.0,330.0
330.0,330.0
327.0,327.0
325.0,325.0
325.0,325.0
325.0,325.0
325.0,325.0
323.0,323.0
325.0,325.0
325.0,325.0
325.0,325.0
323.0,323.0
323.0,323.0
325.0,325.0
323.0,323.0
322.0,322.0
323.0,323.0
323.0,323.0
324.0,324.0
326.0,326.0
323.0,323.0
323.0,323.0
323.0,323.0
319.0,319.0
319.0,319.0
322.0,322.0
323.0,323.0
322.0,322.0
323.0,323.0
324.0,324.0
325.0,325.0
325.0,325.0
326.0,326.0
325.0,325.0
321.0,321.0
332.0,332.0
332.0,332.0
331.0,331.0
333.0,333.0
326.0,326.0
326.0,326.0
324.0,324.0
329.0,329.0
329.0,329.0
327.0,327.0
328.0,328.0
328.0,328.0
330.0,330.0
329.0,329.0
329.0,329.0
327.0,327.0
329.0,329.0
349.0,349.0
346.0,346.0
353.0,353.0
340.0,340.0
340.0,340.0
343.0,343.0
341.0,341.0
342.0,342.0
345.0,345.0
344.0,344.0
342.0,342.0
343.0,343.0
343.0,343.0
343.0,343.0
342.0,342.0
342.0,342.0
343.0,343.0
344.0,344.0
343.0,343.0
344.0,344.0
348.0,348.0
348.0,348.0
349.0,349.0
397.0,397.0
385.0,385.0
384.0,384.0
346.0,346.0
349.0,349.0
349.0,349.0
347.0,347.0
389.0,389.0
390.0,390.0
388.0,388.0
388.0,388.0
387.0,387.0
390.0,390.0
386.0,386.0
371.0,371.0
370.0,370.0
369.0,369.0
370.0,370.0
369.0,369.0
370.0,370.0
373.0,373.0
377.0,377.0
379.0,379.0
379.0,379.0
378.0,378.0
380.0,380.0
381.0,381.0
381.0,381.0
382.0,382.0
380.0,380.0
341.0,341.0
329.0,329.0
328.0,328.0
329.0,329.0
331.0,331.0
330.0,330.0
330.0,330.0
328.0,328.0
328.0,328.0
326.0,326.0
324.0,324.0
322.0,322.0
323.0,323.0
323.0,323.0
369.0,369.0
385.0,385.0
381.0,381.0
382.0,382.0
383.0,383.0
437.0,437.0
436.0,436.0
435.0,435.0
480.0,480.0
504.0,504.0
509.0,509.0
506.0,506.0
509.0,509.0
520.0,520.0
519.0,519.0
520.0,520.0
520.0,520.0
519.0,519.0
603.0,603.0
1096.0,1096.0
1064.0,1064.0
1064.0,1064.0
1072.0,1072.0
1089.0,1089.0
1063.0,1063.0
1428.0,1428.0
1467.0,1467.0
1506.0,1506.0
1510.0,1510.0
1495.0,1495.0
1507.0,1507.0
1505.0,1505.0
1501.0,1501.0
1463.0,1463.0
1463.0,1463.0
1459.0,1459.0
1459.0,1459.0
1465.0,1465.0
1449.0,1449.0
1452.0,1452.0
1449.0,1449.0
1439.0,1439.0
1184.0,1184.0
1105.0,1105.0
972.0,972.0
972.0,972.0
890.0,890.0
762.0,762.0
760.0,760.0
756.0,756.0
679.0,679.0
682.0,682.0
807.0,807.0
807.0,807.0
808.0,808.0
808.0,808.0
811.0,811.0
811.0,811.0
592.0,592.0
587.0,587.0
584.0,584.0
580.0,580.0
581.0,581.0
582.0,582.0
452.0,452.0
442.0,442.0
442.0,442.0
304.0,304.0
303.0,303.0
301.0,301.0
300.0,300.0
302.0,302.0
305.0,305.0
303.0,303.0
301.0,301.0
297.0,297.0
293.0,293.0
293.0,293.0
293.0,293.0
293.0,293.0
292.0,292.0
291.0,291.0
293.0,293.0
292.0,292.0
292.0,292.0
291.0,291.0
291.0,291.0
292.0,292.0
281.0,281.0
279.0,279.0
275.0,275.0
276.0,276.0
275.0,275.0
274.0,274.0
274.0,274.0
275.0,275.0
273.0,273.0
274.0,274.0
274.0,274.0
273.0,273.0
274.0,274.0
274.0,274.0
273.0,273.0
276.0,276.0
273.0,273.0
273.0,273.0
273.0,273.0
275.0,275.0
273.0,273.0
276.0,276.0
275.0,275.0
273.0,273.0
274.0,274.0
273.0,273.0
273.0,273.0
274.0,274.0
273.0,273.0
275.0,275.0
274.0,274.0
272.0,272.0
276.0,276.0
276.0,276.0
276.0,276.0
274.0,274.0
275.0,275.0
276.0,276.0
276.0,276.0
275.0,275.0
268.0,268.0
274.0,274.0
279.0,279.0
279.0,279.0
279.0,279.0
278.0,278.0
275.0,275.0
279.0,279.0
280.0,280.0
278.0,278.0
283.0,283.0
283.0,283.0
280.0,280.0
280.0,280.0
280.0,280.0
279.0,279.0
279.0,279.0
279.0,279.0
279.0,279.0
280.0,280.0
279.0,279.0
277.0,277.0
277.0,277.0
279.0,279.0
279.0,279.0
306.0,306.0
304.0,304.0
304.0,304.0
306.0,306.0
306.0,306.0
308.0,308.0
307.0,307.0
307.0,307.0
307.0,307.0
307.0,307.0
306.0,306.0
306.0,306.0
576.0,576.0
577.0,577.0
577.0,577.0
576.0,576.0
576.0,576.0
588.0,588.0
588.0,588.0
579.0,579.0
582.0,582.0
582.0,582.0
457.0,457.0
450.0,450.0
452.0,452.0
452.0,452.0
451.0,451.0
451.0,451.0
452.0,452.0
449.0,449.0
449.0,449.0
455.0,455.0
455.0,455.0
323.0,323.0
307.0,307.0
301.0,301.0
301.0,301.0
310.0,310.0
310.0,310.0
310.0,310.0
311.0,311.0
311.0,311.0
310.0,310.0
310.0,310.0
310.0,310.0
310.0,310.0
310.0,310.0
348.0,348.0
348.0,348.0
352.0,352.0
352.0,352.0
352.0,352.0
352.0,352.0
351.0,351.0
344.0,344.0
339.0,339.0
340.0,340.0
346.0,346.0
347.0,347.0
345.0,345.0
343.0,343.0
344.0,344.0
328.0,328.0
324.0,324.0
327.0,327.0
325.0,325.0
325.0,325.0
328.0,328.0
328.0,328.0
329.0,329.0
313.0,313.0
290.0,290.0
279.0,279.0
279.0,279.0
279.0,279.0
281.0,281.0
282.0,282.0
282.0,282.0
282.0,282.0
281.0,281.0
282.0,282.0
282.0,282.0
280.0,280.0
281.0,281.0
281.0,281.0
279.0,279.0
279.0,279.0
280.0,280.0
280.0,280.0
416.0,416.0
414.0,414.0
414.0,414.0
505.0,505.0
419.0,419.0
416.0,416.0
417.0,417.0
415.0,415.0
415.0,415.0
1093.0,1093.0
1090.0,1090.0
1090.0,1090.0
1096.0,1096.0
1113.0,1113.0
1174.0,1174.0
1139.0,1139.0
1182.0,1182.0
1182.0,1182.0
1532.0,1532.0
1519.0,1519.0
1603.0,1603.0
1603.0,1603.0
1745.0,1745.0
1745.0,1745.0
1906.0,1906.0
1906.0,1906.0
2085.0,2085.0
2179.0,2179.0
2163.0,2163.0
2249.0,2249.0
2154.0,2154.0
2167.0,2167.0
2183.0,2182.6666666666665
2183.0,2182.6666666666665
2058.0,2058.0
2071.0,2070.5
2003.0,2003.0
1907.0,1906.8333333333333
1972.0,1972.0
1959.0,1958.8333333333333
1940.0,1940.0
1925.0,1925.0
1886.0,1886.0
1766.0,1766.0
1966.0,1966.0
1957.0,1957.0
1739.0,1739.0
1671.0,1671.0
1665.0,1665.0
1360.0,1360.0
1139.0,1139.0
1104.0,1104.0
1015.0,1015.0
970.0,970.0
964.0,964.0
749.0,749.0
547.0,547.0
480.0,480.0
403.0,403.0
403.0,403.0
270.0,270.0
270.0,270.0
269.0,269.0
267.0,267.0
262.0,262.0
265.0,265.0
260.0,260.0
261.0,261.0
260.0,260.0
260.0,260.0
258.0,258.0
259.0,259.0
264.0,264.0
265.0,265.0
265.0,265.0
264.0,264.0
263.0,263.0
264.0,264.0
262.0,262.0
263.0,263.0
263.0,263.0
274.0,274.0
260.0,260.0
259.0,259.0
257.0,257.0
257.0,257.0
258.0,258.0
256.0,256.0
256.0,256.0
256.0,256.0
264.0,264.0
265.0,265.0
263.0,263.0
265.0,265.0
267.0,267.0
268.0,268.0
267.0,267.0
267.0,267.0
265.0,265.0
265.0,265.0
267.0,267.0
270.0,270.0
273.0,273.0
272.0,272.0
272.0,272.0
272.0,272.0
271.0,271.0
270.0,270.0
270.0,270.0
265.0,265.0
271.0,271.0
272.0,272.0
279.0,279.0
278.0,278.0
280.0,280.0
274.0,274.0
275.0,275.0
274.0,274.0
275.0,275.0
275.0,275.0
276.0,276.0
275.0,275.0
276.0,276.0
275.0,275.0
293.0,293.0
293.0,293.0
294.0,294.0
294.0,294.0
293.0,293.0
293.0,293.0
292.0,292.0
292.0,292.0
295.0,295.0
424.0,424.0
