Actual Value,Predicted Value
3307.0,3307.0
3310.0,3310.0
3307.0,3307.0
3309.0,3309.0
3309.0,3309.0
3308.0,3308.0
3310.0,3310.0
3310.0,3310.0
3310.0,3310.0
3309.0,3309.0
3309.0,3309.0
3311.0,3311.0
3312.0,3312.0
3310.0,3310.0
3311.0,3311.0
3310.0,3310.0
3309.0,3309.0
3308.0,3308.0
3308.0,3308.0
3311.0,3311.0
3310.0,3310.0
3308.0,3308.0
3308.0,3308.0
3310.0,3310.0
3310.0,3310.0
3309.0,3309.0
3314.0,3314.0
3310.0,3310.0
3311.0,3311.0
3309.0,3309.0
3307.0,3307.0
3313.0,3313.0
3313.0,3313.0
3313.0,3313.0
3310.0,3310.0
3312.0,3312.0
3313.0,3313.0
3312.0,3312.0
3312.0,3312.0
3312.0,3312.0
3312.0,3312.0
3314.0,3314.0
3314.0,3314.0
3314.0,3314.0
3313.0,3313.0
3315.0,3315.0
3315.0,3315.0
3315.0,3315.0
3315.0,3315.0
3313.0,3313.0
3313.0,3313.0
3315.0,3315.0
3311.0,3311.0
3313.0,3313.0
3314.0,3314.0
3314.0,3314.0
3315.0,3315.0
3315.0,3315.0
3312.0,3312.0
3315.0,3315.0
3313.0,3313.0
3313.0,3313.0
3311.0,3311.0
3311.0,3311.0
3313.0,3313.0
3311.0,3311.0
3315.0,3315.0
3314.0,3314.0
3313.0,3313.0
3314.0,3314.0
3312.0,3312.0
3315.0,3315.0
3314.0,3314.0
3315.0,3315.0
3314.0,3314.0
3313.0,3313.0
3313.0,3313.0
3314.0,3314.0
3314.0,3314.0
3315.0,3315.0
3315.0,3315.0
3313.0,3313.0
3315.0,3315.0
3313.0,3313.0
3313.0,3313.0
3315.0,3315.0
3315.0,3315.0
3315.0,3315.0
3315.0,3315.0
3316.0,3316.0
3316.0,3316.0
3318.0,3318.0
3316.0,3316.0
3315.0,3315.0
3318.0,3318.0
3316.0,3316.0
3316.0,3316.0
3317.0,3317.0
3315.0,3315.0
3317.0,3317.0
3315.0,3315.0
3316.0,3316.0
3317.0,3317.0
3317.0,3317.0
3313.0,3313.0
3316.0,3316.0
3316.0,3316.0
3316.0,3316.0
3314.0,3314.0
3316.0,3316.0
3315.0,3315.0
3315.0,3315.0
3316.0,3316.0
3314.0,3314.0
3317.0,3317.0
3317.0,3317.0
3315.0,3315.0
3317.0,3317.0
3316.0,3316.0
3317.0,3317.0
3317.0,3317.0
3314.0,3314.0
3313.0,3313.0
3313.0,3313.0
3313.0,3313.0
3314.0,3314.0
3314.0,3314.0
3313.0,3313.0
3315.0,3315.0
3310.0,3310.0
3314.0,3314.0
3314.0,3314.0
3314.0,3314.0
3314.0,3314.0
3314.0,3314.0
3314.0,3314.0
3314.0,3314.0
3316.0,3316.0
3315.0,3315.0
3315.0,3315.0
3315.0,3315.0
3315.0,3315.0
3313.0,3313.0
3312.0,3312.0
3315.0,3315.0
3314.0,3314.0
3314.0,3314.0
3313.0,3313.0
3312.0,3312.0
3312.0,3312.0
3312.0,3312.0
3313.0,3313.0
3315.0,3315.0
3311.0,3311.0
3309.0,3309.0
3312.0,3312.0
3312.0,3312.0
3313.0,3313.0
3313.0,3313.0
3314.0,3314.0
3313.0,3313.0
3310.0,3310.0
3310.0,3310.0
3310.0,3310.0
3311.0,3311.0
3311.0,3311.0
3311.0,3311.0
3310.0,3310.0
3310.0,3310.0
3310.0,3310.0
3311.0,3311.0
3312.0,3312.0
3309.0,3309.0
3307.0,3307.0
3309.0,3309.0
3309.0,3309.0
3313.0,3313.0
3310.0,3310.0
3308.0,3308.0
3306.0,3306.0
3313.0,3313.0
3312.0,3312.0
3311.0,3311.0
3307.0,3307.0
3310.0,3310.0
3308.0,3308.0
3310.0,3310.0
3310.0,3310.0
3310.0,3310.0
3315.0,3315.0
3315.0,3315.0
3312.0,3312.0
3317.0,3317.0
3316.0,3316.0
3316.0,3316.0
3314.0,3314.0
3312.0,3312.0
3316.0,3316.0
3317.0,3317.0
3316.0,3316.0
3309.0,3309.0
3309.0,3309.0
3309.0,3309.0
3313.0,3313.0
3312.0,3312.0
3312.0,3312.0
3313.0,3313.0
3313.0,3313.0
3312.0,3312.0
3313.0,3313.0
3313.0,3313.0
3313.0,3313.0
3314.0,3314.0
3314.0,3314.0
3313.0,3313.0
3314.0,3314.0
3314.0,3314.0
3314.0,3314.0
3313.0,3313.0
3314.0,3314.0
3314.0,3314.0
3314.0,3314.0
3317.0,3317.0
3315.0,3315.0
3315.0,3315.0
3316.0,3316.0
3314.0,3314.0
3315.0,3315.0
3315.0,3315.0
3314.0,3314.0
3314.0,3314.0
3314.0,3314.0
3317.0,3317.0
3317.0,3317.0
3316.0,3316.0
3316.0,3316.0
3316.0,3316.0
3317.0,3317.0
3317.0,3317.0
3317.0,3317.0
3316.0,3316.0
3316.0,3316.0
3316.0,3316.0
3316.0,3316.0
3314.0,3314.0
3314.0,3314.0
3314.0,3314.0
3316.0,3316.0
3315.0,3315.0
3314.0,3314.0
3313.0,3313.0
3313.0,3313.0
3311.0,3311.0
3311.0,3311.0
3311.0,3311.0
3310.0,3310.0
3310.0,3310.0
3311.0,3311.0
3314.0,3314.0
3312.0,3312.0
3312.0,3312.0
3312.0,3312.0
3312.0,3312.0
3312.0,3312.0
3312.0,3312.0
3312.0,3312.0
3311.0,3311.0
3311.0,3311.0
3312.0,3312.0
3312.0,3312.0
3311.0,3311.0
3313.0,3313.0
3316.0,3316.0
3316.0,3316.0
3315.0,3315.0
3313.0,3313.0
3312.0,3312.0
3312.0,3312.0
3312.0,3312.0
3312.0,3312.0
3312.0,3312.0
3313.0,3313.0
3313.0,3313.0
3313.0,3313.0
3315.0,3315.0
3315.0,3315.0
3314.0,3314.0
3314.0,3314.0
3314.0,3314.0
3314.0,3314.0
3313.0,3313.0
3314.0,3314.0
3314.0,3314.0
3313.0,3313.0
3314.0,3314.0
3312.0,3312.0
3312.0,3312.0
3313.0,3313.0
3312.0,3312.0
3310.0,3310.0
3312.0,3312.0
3314.0,3314.0
3292.0,3292.0
3255.0,3255.0
3250.0,3250.0
3228.0,3227.6666666666665
3197.0,3197.0
3100.0,3100.5
3084.0,3083.0
2984.0,2983.5
2909.0,2908.5
2837.0,2837.8333333333335
2801.0,2801.0
2790.0,2790.0
2745.0,2744.8333333333335
2717.0,2717.1666666666665
2688.0,2688.0
2647.0,2650.6666666666665
2633.0,2631.8333333333335
2556.0,2555.3333333333335
2509.0,2508.3333333333335
2476.0,2477.1666666666665
2421.0,2420.0
2386.0,2382.5
2355.0,2354.8333333333335
2326.0,2326.1666666666665
2301.0,2299.8333333333335
2285.0,2284.8333333333335
2255.0,2255.1666666666665
2244.0,2242.3333333333335
2241.0,2240.0
2252.0,2251.5
2244.0,2242.3333333333335
2244.0,2242.3333333333335
2246.0,2246.5
2246.0,2246.5
2246.0,2246.5
2247.0,2247.8333333333335
2250.0,2249.8333333333335
2251.0,2251.0
2249.0,2248.8333333333335
2252.0,2251.5
2250.0,2249.8333333333335
2250.0,2249.8333333333335
2250.0,2249.8333333333335
2249.0,2248.8333333333335
2249.0,2248.8333333333335
2249.0,2248.8333333333335
2247.0,2247.8333333333335
2247.0,2247.8333333333335
2247.0,2247.8333333333335
2236.0,2236.5
2231.0,2230.8333333333335
2210.0,2210.1666666666665
2188.0,2187.3333333333335
2185.0,2184.3333333333335
2182.0,2181.1666666666665
2104.0,2104.0
2102.0,2101.3333333333335
2102.0,2101.3333333333335
2102.0,2101.3333333333335
2101.0,2100.5
2102.0,2101.3333333333335
2102.0,2101.3333333333335
2101.0,2100.5
2101.0,2100.5
2101.0,2100.5
2100.0,2100.5
2101.0,2100.5
2101.0,2100.5
2101.0,2100.5
2101.0,2100.5
2101.0,2100.5
2101.0,2100.5
2101.0,2100.5
2100.0,2100.5
2099.0,2099.1666666666665
