Actual Value,Predicted Value
310,310.0
307,307.0
306,306.0
307,307.0
306,306.0
306,306.0
307,307.0
305,305.0
305,305.0
303,303.0
303,303.0
306,306.0
303,303.0
301,301.0
290,290.0
297,297.0
297,297.0
297,297.0
301,301.0
304,304.0
308,308.0
315,315.0
307,307.0
311,311.0
307,307.0
311,311.0
314,314.0
310,310.0
309,309.0
308,308.0
314,314.0
308,308.0
314,314.0
314,314.0
311,311.0
308,308.0
308,308.0
309,309.0
309,309.0
310,310.0
310,310.0
317,317.0
307,307.0
307,307.0
307,307.0
300,300.0
304,304.0
305,305.0
305,305.0
306,306.0
306,306.0
310,310.0
313,313.0
313,313.0
319,319.0
322,322.0
326,326.0
333,333.0
323,323.0
323,323.0
329,329.0
333,333.0
333,333.0
333,333.0
329,329.0
336,336.0
336,336.0
331,331.0
327,327.0
338,338.0
335,335.0
331,331.0
322,322.0
320,320.0
317,317.0
317,317.0
319,319.0
332,332.0
336,336.0
337,337.0
331,331.0
328,328.0
336,336.0
336,336.0
337,337.0
338,338.0
339,339.0
336,336.0
335,335.0
339,339.0
338,338.0
334,334.0
334,334.0
343,343.0
337,337.0
338,338.0
338,338.0
337,337.0
337,337.0
336,336.0
333,333.0
335,335.0
332,332.0
332,332.0
325,325.0
329,329.0
327,327.0
327,327.0
323,323.0
316,316.0
312,312.0
314,314.0
311,311.0
312,312.0
312,312.0
312,312.0
312,312.0
312,312.0
310,310.0
308,308.0
306,306.0
315,315.0
318,318.0
307,307.0
311,311.0
310,310.0
311,311.0
312,312.0
312,312.0
308,308.0
304,304.0
293,293.0
297,297.0
287,287.0
298,298.0
299,299.0
294,294.0
294,294.0
293,293.0
293,293.0
301,301.0
303,303.0
307,307.0
307,307.0
311,311.0
307,307.0
302,302.0
299,299.0
302,302.0
303,303.0
303,303.0
307,307.0
298,298.0
299,299.0
299,299.0
301,301.0
305,305.0
300,300.0
309,309.0
301,301.0
310,310.0
306,306.0
299,299.0
302,302.0
306,306.0
305,305.0
308,308.0
307,307.0
305,305.0
309,309.0
309,309.0
306,306.0
297,297.0
300,300.0
301,301.0
297,297.0
302,302.0
304,304.0
322,322.0
325,325.0
330,330.0
339,339.0
327,327.0
332,332.0
327,327.0
325,325.0
325,325.0
332,332.0
334,334.0
333,333.0
325,325.0
330,330.0
326,326.0
327,327.0
327,327.0
332,332.0
335,335.0
336,336.0
334,334.0
335,335.0
335,335.0
335,335.0
335,335.0
339,339.0
337,337.0
347,346.1666666666667
349,347.1666666666667
343,343.0
340,340.0
339,339.0
334,334.0
338,338.0
338,338.0
339,339.0
340,340.0
341,341.0
338,338.0
339,339.0
340,340.0
345,345.0
340,340.0
344,344.0
344,344.0
341,341.0
339,339.0
344,344.0
347,346.1666666666667
345,345.0
345,345.0
346,346.0
344,344.0
342,342.0
346,346.0
342,342.0
340,340.0
340,340.0
348,347.1666666666667
347,346.1666666666667
344,344.0
345,345.0
337,337.0
339,339.0
340,340.0
344,344.0
347,346.1666666666667
341,341.0
343,343.0
348,347.1666666666667
345,345.0
347,346.1666666666667
340,340.0
344,344.0
345,345.0
345,345.0
340,340.0
340,340.0
336,336.0
337,337.0
337,337.0
339,339.0
340,340.0
341,341.0
336,336.0
340,340.0
340,340.0
338,338.0
340,340.0
341,341.0
336,336.0
339,339.0
340,340.0
340,340.0
340,340.0
341,341.0
340,340.0
340,340.0
337,337.0
336,336.0
332,332.0
333,333.0
338,338.0
330,330.0
335,335.0
336,336.0
341,341.0
344,344.0
337,337.0
334,334.0
334,334.0
335,335.0
335,335.0
341,341.0
340,340.0
332,332.0
334,334.0
334,334.0
340,340.0
338,338.0
337,337.0
331,331.0
335,335.0
341,341.0
336,336.0
339,339.0
333,333.0
339,339.0
338,338.0
329,329.0
335,335.0
335,335.0
335,335.0
338,338.0
338,338.0
339,339.0
337,337.0
340,340.0
328,328.0
333,333.0
330,330.0
334,334.0
331,331.0
331,331.0
323,323.0
293,293.0
293,293.0
300,300.0
296,296.0
293,293.0
301,301.0
302,302.0
305,305.0
299,299.0
302,302.0
335,335.0
328,328.0
321,321.0
326,326.0
326,326.0
324,324.0
324,324.0
326,326.0
329,329.0
333,333.0
332,332.0
339,339.0
339,339.0
332,332.0
332,332.0
342,342.0
325,325.0
332,332.0
342,342.0
342,342.0
338,338.0
338,338.0
338,338.0
336,336.0
336,336.0
333,333.0
336,336.0
336,336.0
330,330.0
331,331.0
333,333.0
334,334.0
333,333.0
331,331.0
326,326.0
335,335.0
334,334.0
330,330.0
332,332.0
336,336.0
327,327.0
328,328.0
332,332.0
332,332.0
338,338.0
338,338.0
333,333.0
337,337.0
340,340.0
341,341.0
342,342.0
334,334.0
337,337.0
333,333.0
334,334.0
334,334.0
336,336.0
335,335.0
336,336.0
336,336.0
341,341.0
337,337.0
337,337.0
337,337.0
337,337.0
337,337.0
334,334.0
335,335.0
334,334.0
336,336.0
335,335.0
335,335.0
335,335.0
338,338.0
338,338.0
338,338.0
334,334.0
336,336.0
336,336.0
345,345.0
345,345.0
347,346.1666666666667
345,345.0
339,339.0
339,339.0
330,330.0
338,338.0
334,334.0
334,334.0
339,339.0
340,340.0
340,340.0
335,335.0
337,337.0
343,343.0
337,337.0
348,347.1666666666667
348,347.1666666666667
344,344.0
342,342.0
337,337.0
341,341.0
341,341.0
342,342.0
345,345.0
342,342.0
340,340.0
340,340.0
339,339.0
341,341.0
339,339.0
342,342.0
343,343.0
344,344.0
338,338.0
343,343.0
342,342.0
336,336.0
336,336.0
346,346.0
342,342.0
343,343.0
344,344.0
343,343.0
343,343.0
342,342.0
342,342.0
348,347.1666666666667
348,347.1666666666667
347,346.1666666666667
347,346.1666666666667
339,339.0
339,339.0
339,339.0
337,337.0
336,336.0
336,336.0
341,341.0
341,341.0
342,342.0
338,338.0
339,339.0
342,342.0
342,342.0
339,339.0
339,339.0
344,344.0
344,344.0
339,339.0
345,345.0
345,345.0
347,346.1666666666667
342,342.0
346,346.0
344,344.0
345,345.0
340,340.0
343,343.0
339,339.0
336,336.0
336,336.0
336,336.0
341,341.0
343,343.0
343,343.0
342,342.0
342,342.0
342,342.0
338,338.0
345,345.0
342,342.0
342,342.0
339,339.0
338,338.0
342,342.0
344,344.0
340,340.0
331,331.0
331,331.0
346,346.0
346,346.0
338,338.0
339,339.0
345,345.0
345,345.0
338,338.0
343,343.0
339,339.0
339,339.0
340,340.0
340,340.0
344,344.0
344,344.0
342,342.0
348,347.1666666666667
349,347.1666666666667
338,338.0
338,338.0
339,339.0
346,346.0
341,341.0
343,343.0
347,346.1666666666667
338,338.0
342,342.0
345,345.0
338,338.0
338,338.0
342,342.0
343,343.0
338,338.0
338,338.0
339,339.0
340,340.0
340,340.0
340,340.0
337,337.0
337,337.0
339,339.0
335,335.0
334,334.0
340,340.0
344,344.0
346,346.0
346,346.0
335,335.0
338,338.0
341,341.0
341,341.0
337,337.0
337,337.0
337,337.0
341,341.0
340,340.0
338,338.0
336,336.0
331,331.0
333,333.0
336,336.0
335,335.0
337,337.0
337,337.0
338,338.0
338,338.0
338,338.0
332,332.0
335,335.0
339,339.0
338,338.0
342,342.0
338,338.0
337,337.0
334,334.0
339,339.0
335,335.0
335,335.0
335,335.0
335,335.0
332,332.0
331,331.0
330,330.0
330,330.0
334,334.0
331,331.0
330,330.0
334,334.0
335,335.0
334,334.0
332,332.0
335,335.0
335,335.0
333,333.0
329,329.0
331,331.0
331,331.0
329,329.0
329,329.0
324,324.0
323,323.0
330,330.0
329,329.0
328,328.0
324,324.0
324,324.0
327,327.0
325,325.0
326,326.0
324,324.0
324,324.0
322,322.0
322,322.0
322,322.0
322,322.0
324,324.0
324,324.0
325,325.0
325,325.0
331,331.0
336,336.0
336,336.0
328,328.0
332,332.0
332,332.0
327,327.0
327,327.0
327,327.0
336,336.0
336,336.0
336,336.0
329,329.0
329,329.0
326,326.0
329,329.0
331,331.0
333,333.0
332,332.0
333,333.0
331,331.0
331,331.0
332,332.0
332,332.0
325,325.0
326,326.0
333,333.0
331,331.0
328,328.0
328,328.0
323,323.0
324,324.0
328,328.0
327,327.0
329,329.0
328,328.0
328,328.0
327,327.0
321,321.0
334,334.0
335,335.0
335,335.0
329,329.0
334,334.0
337,337.0
332,332.0
324,324.0
324,324.0
328,328.0
320,320.0
324,324.0
324,324.0
322,322.0
324,324.0
324,324.0
327,327.0
327,327.0
332,332.0
324,324.0
327,327.0
329,329.0
332,332.0
331,331.0
331,331.0
331,331.0
333,333.0
335,335.0
335,335.0
335,335.0
325,325.0
329,329.0
334,334.0
331,331.0
331,331.0
330,330.0
330,330.0
330,330.0
328,328.0
325,325.0
329,329.0
329,329.0
334,334.0
334,334.0
337,337.0
336,336.0
334,334.0
331,331.0
333,333.0
333,333.0
332,332.0
334,334.0
333,333.0
328,328.0
326,326.0
327,327.0
330,330.0
332,332.0
332,332.0
333,333.0
333,333.0
327,327.0
327,327.0
331,331.0
332,332.0
332,332.0
332,332.0
330,330.0
332,332.0
334,334.0
334,334.0
331,331.0
331,331.0
326,326.0
326,326.0
324,324.0
327,327.0
332,332.0
331,331.0
325,325.0
326,326.0
334,334.0
332,332.0
330,330.0
332,332.0
336,336.0
335,335.0
334,334.0
332,332.0
333,333.0
333,333.0
339,339.0
337,337.0
339,339.0
328,328.0
335,335.0
331,331.0
332,332.0
326,326.0
325,325.0
331,331.0
332,332.0
337,337.0
331,331.0
334,334.0
331,331.0
324,324.0
328,328.0
333,333.0
333,333.0
328,328.0
337,337.0
328,328.0
328,328.0
335,335.0
329,329.0
332,332.0
334,334.0
328,328.0
330,330.0
335,335.0
334,334.0
335,335.0
329,329.0
338,338.0
340,340.0
335,335.0
335,335.0
343,343.0
