Actual Value,Predicted Value
284,284.0
284,284.0
285,285.0
283,283.0
282,282.0
282,282.0
284,284.0
285,285.0
286,286.0
285,285.0
285,285.0
287,287.0
288,288.0
286,286.0
287,287.0
290,290.0
290,290.0
290,290.0
286,286.0
288,288.0
290,290.0
288,288.0
287,287.0
290,290.0
286,286.0
288,288.0
287,287.0
293,293.0
291,291.0
291,291.0
288,288.0
290,290.0
288,288.0
288,288.0
287,287.0
290,290.0
289,289.0
288,288.0
288,288.0
288,288.0
287,287.0
286,286.0
288,288.0
288,288.0
286,286.0
289,289.0
286,286.0
286,286.0
286,286.0
288,288.0
287,287.0
286,286.0
290,290.0
285,285.0
287,287.0
283,283.0
284,284.0
285,285.0
288,288.0
288,288.0
287,287.0
288,288.0
287,287.0
287,287.0
289,289.0
290,290.0
290,290.0
292,292.0
292,292.0
293,293.0
295,294.1666666666667
296,294.1666666666667
292,292.0
293,293.0
293,293.0
296,294.1666666666667
294,293.8333333333333
289,289.0
291,291.0
292,292.0
293,293.0
292,292.0
295,294.1666666666667
295,294.1666666666667
297,294.1666666666667
298,294.1666666666667
296,294.1666666666667
292,292.0
292,292.0
290,290.0
292,292.0
293,293.0
293,293.0
289,289.0
290,290.0
287,287.0
287,287.0
291,291.0
291,291.0
285,285.0
286,286.0
287,287.0
287,287.0
284,284.0
288,288.0
286,286.0
290,290.0
290,290.0
289,289.0
289,289.0
288,288.0
284,284.0
287,287.0
287,287.0
287,287.0
287,287.0
288,288.0
288,288.0
289,289.0
288,288.0
292,292.0
294,293.8333333333333
291,291.0
292,292.0
292,292.0
292,292.0
288,288.0
290,290.0
290,290.0
287,287.0
288,288.0
289,289.0
289,289.0
293,293.0
292,292.0
292,292.0
291,291.0
291,291.0
287,287.0
287,287.0
288,288.0
290,290.0
289,289.0
288,288.0
286,286.0
284,284.0
286,286.0
285,285.0
287,287.0
288,288.0
287,287.0
286,286.0
290,290.0
290,290.0
290,290.0
287,287.0
290,290.0
290,290.0
290,290.0
290,290.0
289,289.0
289,289.0
293,293.0
294,293.8333333333333
294,293.8333333333333
295,294.1666666666667
296,294.1666666666667
294,293.8333333333333
294,293.8333333333333
292,292.0
300,294.1666666666667
298,294.1666666666667
299,294.1666666666667
302,294.1666666666667
300,294.1666666666667
301,294.1666666666667
300,294.1666666666667
299,294.1666666666667
300,294.1666666666667
304,294.1666666666667
305,294.1666666666667
303,294.1666666666667
306,294.1666666666667
303,294.1666666666667
303,294.1666666666667
305,294.1666666666667
300,294.1666666666667
301,294.1666666666667
304,294.1666666666667
304,294.1666666666667
303,294.1666666666667
304,294.1666666666667
304,294.1666666666667
307,294.1666666666667
308,294.1666666666667
305,294.1666666666667
307,294.1666666666667
308,294.1666666666667
305,294.1666666666667
305,294.1666666666667
305,294.1666666666667
303,294.1666666666667
303,294.1666666666667
304,294.1666666666667
300,294.1666666666667
304,294.1666666666667
304,294.1666666666667
302,294.1666666666667
303,294.1666666666667
306,294.1666666666667
304,294.1666666666667
301,294.1666666666667
299,294.1666666666667
298,294.1666666666667
295,294.1666666666667
294,293.8333333333333
296,294.1666666666667
295,294.1666666666667
297,294.1666666666667
298,294.1666666666667
304,294.1666666666667
306,294.1666666666667
305,294.1666666666667
