BeginDate,LoadMw
2024-12-05T00:00:00.000-05:00,12070
2024-12-05T01:00:00.000-05:00,11700
2024-12-05T02:00:00.000-05:00,11540
2024-12-05T03:00:00.000-05:00,11530
2024-12-05T04:00:00.000-05:00,11940
2024-12-05T05:00:00.000-05:00,12830
2024-12-05T06:00:00.000-05:00,14280
2024-12-05T07:00:00.000-05:00,15240
2024-12-05T08:00:00.000-05:00,15640
2024-12-05T09:00:00.000-05:00,15690
2024-12-05T10:00:00.000-05:00,15460
2024-12-05T11:00:00.000-05:00,15230
2024-12-05T12:00:00.000-05:00,14940
2024-12-05T13:00:00.000-05:00,14860
2024-12-05T14:00:00.000-05:00,15010
2024-12-05T15:00:00.000-05:00,15420
2024-12-05T16:00:00.000-05:00,16570
2024-12-05T17:00:00.000-05:00,17240
2024-12-05T18:00:00.000-05:00,16960
2024-12-05T19:00:00.000-05:00,16710
2024-12-05T20:00:00.000-05:00,16070
2024-12-05T21:00:00.000-05:00,15360
2024-12-05T22:00:00.000-05:00,14230
2024-12-05T23:00:00.000-05:00,13330
2024-12-06T00:00:00.000-05:00,12570
2024-12-06T01:00:00.000-05:00,12220
2024-12-06T02:00:00.000-05:00,12090
2024-12-06T03:00:00.000-05:00,12120
2024-12-06T04:00:00.000-05:00,12470
2024-12-06T05:00:00.000-05:00,13430
2024-12-06T06:00:00.000-05:00,14970
2024-12-06T07:00:00.000-05:00,15900
2024-12-06T08:00:00.000-05:00,15580
2024-12-06T09:00:00.000-05:00,14480
2024-12-06T10:00:00.000-05:00,13840
2024-12-06T11:00:00.000-05:00,13240
2024-12-06T12:00:00.000-05:00,13060
2024-12-06T13:00:00.000-05:00,13530
2024-12-06T14:00:00.000-05:00,14410
2024-12-06T15:00:00.000-05:00,15630
2024-12-06T16:00:00.000-05:00,16900
2024-12-06T17:00:00.000-05:00,17500
2024-12-06T18:00:00.000-05:00,17240
2024-12-06T19:00:00.000-05:00,16850
2024-12-06T20:00:00.000-05:00,16410
2024-12-06T21:00:00.000-05:00,15670
2024-12-06T22:00:00.000-05:00,14690
2024-12-06T23:00:00.000-05:00,13730
2024-12-03T00:00:00.000-05:00,12740
2024-12-03T01:00:00.000-05:00,12310
2024-12-03T02:00:00.000-05:00,12160
2024-12-03T03:00:00.000-05:00,12200
2024-12-03T04:00:00.000-05:00,12580
2024-12-03T05:00:00.000-05:00,13590
2024-12-03T06:00:00.000-05:00,15120
2024-12-03T07:00:00.000-05:00,15930
2024-12-03T08:00:00.000-05:00,14970
2024-12-03T09:00:00.000-05:00,13870
2024-12-03T10:00:00.000-05:00,13030
2024-12-03T11:00:00.000-05:00,12710
2024-12-03T12:00:00.000-05:00,12660
2024-12-03T13:00:00.000-05:00,13340
2024-12-03T14:00:00.000-05:00,14410
2024-12-03T15:00:00.000-05:00,15370
2024-12-03T16:00:00.000-05:00,16620
2024-12-03T17:00:00.000-05:00,17400
2024-12-03T18:00:00.000-05:00,17120
2024-12-03T19:00:00.000-05:00,16760
2024-12-03T20:00:00.000-05:00,16310
2024-12-03T21:00:00.000-05:00,15400
2024-12-03T22:00:00.000-05:00,14300
2024-12-03T23:00:00.000-05:00,13330
2024-12-04T00:00:00.000-05:00,12670
2024-12-04T01:00:00.000-05:00,12320
2024-12-04T02:00:00.000-05:00,12180
2024-12-04T03:00:00.000-05:00,12220
2024-12-04T04:00:00.000-05:00,12630
2024-12-04T05:00:00.000-05:00,13660
2024-12-04T06:00:00.000-05:00,15270
2024-12-04T07:00:00.000-05:00,16020
2024-12-04T08:00:00.000-05:00,15160
2024-12-04T09:00:00.000-05:00,13600
2024-12-04T10:00:00.000-05:00,12530
2024-12-04T11:00:00.000-05:00,12040
2024-12-04T12:00:00.000-05:00,12240
2024-12-04T13:00:00.000-05:00,13120
2024-12-04T14:00:00.000-05:00,14370
2024-12-04T15:00:00.000-05:00,15280
2024-12-04T16:00:00.000-05:00,16490
2024-12-04T17:00:00.000-05:00,17300
2024-12-04T18:00:00.000-05:00,16910
2024-12-04T19:00:00.000-05:00,16490
2024-12-04T20:00:00.000-05:00,15910
2024-12-04T21:00:00.000-05:00,14980
2024-12-04T22:00:00.000-05:00,13780
2024-12-04T23:00:00.000-05:00,12740
