BeginDate,CreationDate,LoadMw,NetLoadMw
2024-10-28T00:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,10080,10080
2024-10-28T01:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,9790,9790
2024-10-28T02:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,9660,9660
2024-10-28T03:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,9710,9710
2024-10-28T04:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,10060,10060
2024-10-28T05:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,10980,10980
2024-10-28T06:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,12560,12560
2024-10-28T07:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,13560,13560
2024-10-28T08:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,13290,13290
2024-10-28T09:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,12500,12500
2024-10-28T10:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,11160,11160
2024-10-28T11:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,10160,10160
2024-10-28T12:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,9640,9640
2024-10-28T13:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,9560,9560
2024-10-28T14:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,9950,9950
2024-10-28T15:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,10880,10880
2024-10-28T16:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,12320,12320
2024-10-28T17:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,13740,13740
2024-10-28T18:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,14500,14500
2024-10-28T19:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,14360,14360
2024-10-28T20:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,13900,13900
2024-10-28T21:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,13130,13130
2024-10-28T22:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,12110,12110
2024-10-28T23:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,11220,11220
2024-10-29T00:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,10470,10470
2024-10-29T01:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,10220,10220
2024-10-29T02:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,9990,9990
2024-10-29T03:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,10040,10040
2024-10-29T04:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,10320,10320
2024-10-29T05:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,11230,11230
2024-10-29T06:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,12790,12790
2024-10-29T07:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,13780,13780
2024-10-29T08:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,13330,13330
2024-10-29T09:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,12510,12510
2024-10-29T10:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,12070,12070
2024-10-29T11:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,11800,11800
2024-10-29T12:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,11530,11530
2024-10-29T13:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,11760,11760
2024-10-29T14:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,11970,11970
2024-10-29T15:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,12390,12390
2024-10-29T16:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,13260,13260
2024-10-29T17:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,14140,14140
2024-10-29T18:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,14600,14600
2024-10-29T19:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,14210,14210
2024-10-29T20:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,13580,13580
2024-10-29T21:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,12640,12640
2024-10-29T22:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,11570,11570
2024-10-29T23:00:00.000-04:00,2024-10-28T09:18:17.000-04:00,10630,10630
2024-10-30T00:00:00.000-04:00,2024-10-28T09:18:18.000-04:00,9990,9990
2024-10-30T01:00:00.000-04:00,2024-10-28T09:18:18.000-04:00,9740,9740
2024-10-30T02:00:00.000-04:00,2024-10-28T09:18:18.000-04:00,9430,9430
2024-10-30T03:00:00.000-04:00,2024-10-28T09:18:18.000-04:00,9400,9400
2024-10-30T04:00:00.000-04:00,2024-10-28T09:18:18.000-04:00,9640,9640
2024-10-30T05:00:00.000-04:00,2024-10-28T09:18:18.000-04:00,10480,10480
2024-10-30T06:00:00.000-04:00,2024-10-28T09:18:18.000-04:00,11990,11990
2024-10-30T07:00:00.000-04:00,2024-10-28T09:18:18.000-04:00,12920,12920
2024-10-30T08:00:00.000-04:00,2024-10-28T09:18:18.000-04:00,12540,12540
2024-10-30T09:00:00.000-04:00,2024-10-28T09:18:18.000-04:00,11990,11990
2024-10-30T10:00:00.000-04:00,2024-10-28T09:18:18.000-04:00,11540,11540
2024-10-30T11:00:00.000-04:00,2024-10-28T09:18:18.000-04:00,11180,11180
2024-10-30T12:00:00.000-04:00,2024-10-28T09:18:18.000-04:00,10890,10890
2024-10-30T13:00:00.000-04:00,2024-10-28T09:18:18.000-04:00,11010,11010
