BeginDate,LoadMw,datetime,temp,dew,humidity,precip,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,solarradiation,solarenergy,uvindex,severerisk
2024-12-04 00:00:00+00:00,16760,2024-12-04 00:00:00+00:00,31.8,20.9,63.69,0.0,,0.0,0.0,9.2,7.9,291,1022.1,87.6,0,0.0,0,10
2024-12-04 01:00:00+00:00,16310,2024-12-04 01:00:00+00:00,31.8,20.9,63.79,0.0,,0.0,0.0,11.4,10.1,291,1022.0,99.9,0,0.0,0,10
2024-12-04 02:00:00+00:00,15400,2024-12-04 02:00:00+00:00,30.7,20.0,64.15,0.0,,0.0,0.0,12.8,6.8,292,1022.2,87.7,0,0.0,0,10
2024-12-04 03:00:00+00:00,14300,2024-12-04 03:00:00+00:00,30.8,20.1,64.03,0.0,,0.0,0.0,13.9,9.1,300,1022.7,100.0,0,0.0,0,10
2024-12-04 04:00:00+00:00,13330,2024-12-04 04:00:00+00:00,30.8,20.9,66.43,0.0,,0.0,0.0,13.9,5.8,280,1022.6,100.0,0,0.0,0,10
2024-12-04 05:00:00+00:00,12670,2024-12-04 05:00:00+00:00,29.8,20.9,68.97,0.0,,0.0,0.0,12.8,10.2,300,1022.8,50.2,0,0.0,0,10
2024-12-04 06:00:00+00:00,12320,2024-12-04 06:00:00+00:00,28.9,20.9,71.52,0.0,,0.0,0.0,12.8,9.0,291,1023.0,24.4,0,0.0,0,10
2024-12-04 07:00:00+00:00,12180,2024-12-04 07:00:00+00:00,28.0,19.9,71.5,0.0,,0.0,0.0,10.3,7.9,290,1023.3,24.4,3,0.0,0,10
2024-12-04 08:00:00+00:00,12220,2024-12-04 08:00:00+00:00,29.8,20.0,66.44,0.0,,0.0,0.0,9.2,12.5,290,1023.6,24.4,29,0.1,0,10
2024-12-04 09:00:00+00:00,12630,2024-12-04 09:00:00+00:00,31.9,20.0,61.27,0.0,,0.0,0.0,8.1,8.0,279,1023.6,24.4,61,0.2,1,10
2024-12-04 10:00:00+00:00,13660,2024-12-04 10:00:00+00:00,34.0,19.1,53.93,0.0,,0.0,0.0,8.1,6.9,298,1023.4,24.4,352,1.3,4,10
2024-12-04 11:00:00+00:00,15270,2024-12-04 11:00:00+00:00,35.2,12.9,39.33,0.0,,0.0,0.0,11.4,4.7,260,1022.6,24.4,355,1.3,4,10
2024-12-04 12:00:00+00:00,16020,2024-12-04 12:00:00+00:00,36.1,11.9,36.38,0.0,,0.0,0.0,11.4,9.1,229,1021.5,24.4,182,0.7,2,10
2024-12-04 13:00:00+00:00,15160,2024-12-04 13:00:00+00:00,38.0,12.8,34.98,0.0,,0.0,0.0,12.8,9.1,181,1020.4,48.8,103,0.4,1,10
2024-12-04 14:00:00+00:00,13600,2024-12-04 14:00:00+00:00,38.0,11.0,32.31,0.0,,0.0,0.0,15.0,9.1,200,1019.4,85.9,98,0.4,1,10
2024-12-04 15:00:00+00:00,12530,2024-12-04 15:00:00+00:00,38.0,11.9,33.65,0.0,,0.0,0.0,16.1,14.8,180,1018.8,87.2,49,0.2,0,10
2024-12-04 16:00:00+00:00,12040,2024-12-04 16:00:00+00:00,37.1,13.8,38.02,0.0,,0.0,0.0,16.1,17.0,199,1018.5,100.0,9,0.0,0,10
2024-12-04 17:00:00+00:00,12240,2024-12-04 17:00:00+00:00,36.1,17.1,45.65,0.0,,0.0,0.0,16.1,12.6,180,1017.6,100.0,0,0.0,0,10
2024-12-04 18:00:00+00:00,13120,2024-12-04 18:00:00+00:00,36.1,20.9,53.67,0.0,,0.0,0.0,17.2,11.3,159,1016.6,100.0,0,0.0,0,10
2024-12-04 19:00:00+00:00,14370,2024-12-04 19:00:00+00:00,36.1,26.1,66.85,0.0,,0.0,0.0,17.2,15.9,140,1015.1,100.0,0,0.0,0,10
2024-12-04 20:00:00+00:00,15280,2024-12-04 20:00:00+00:00,36.1,29.9,78.01,0.0,rain,0.0,0.0,18.3,13.7,150,1013.5,100.0,0,0.0,0,10
2024-12-04 21:00:00+00:00,16490,2024-12-04 21:00:00+00:00,37.1,33.1,85.27,0.012,rain,0.0,0.0,19.5,14.8,160,1012.1,100.0,0,0.0,0,10
2024-12-04 22:00:00+00:00,17300,2024-12-04 22:00:00+00:00,38.0,35.1,89.08,0.012,rain,0.0,0.0,20.8,12.6,160,1010.3,100.0,0,0.0,0,10
2024-12-04 23:00:00+00:00,16910,2024-12-04 23:00:00+00:00,38.9,36.0,89.26,0.012,rain,0.0,0.0,23.0,12.6,170,1008.7,100.0,0,0.0,0,10
2024-12-05 00:00:00+00:00,16490,2024-12-05 00:00:00+00:00,38.9,37.1,93.08,0.04,rain,0.0,0.0,25.3,5.8,190,1007.0,100.0,0,0.0,0,10
2024-12-05 01:00:00+00:00,15910,2024-12-05 01:00:00+00:00,39.8,38.0,93.13,0.07,rain,0.0,0.0,26.4,9.1,200,1005.3,100.0,0,0.0,0,10
2024-12-05 02:00:00+00:00,14980,2024-12-05 02:00:00+00:00,37.1,33.7,87.18,0.067,rain,0.0,0.0,24.6,11.4,225,1005.3,100.0,0,0.0,0,10
2024-12-05 03:00:00+00:00,13780,2024-12-05 03:00:00+00:00,34.1,33.1,96.25,0.059,rain,0.04,0.08,18.3,9.1,220,1003.3,100.0,0,0.0,0,10
2024-12-05 04:00:00+00:00,12740,2024-12-05 04:00:00+00:00,33.2,31.9,94.86,0.058,snow,0.04,0.08,23.0,8.0,211,1002.4,100.0,0,0.0,0,10
2024-12-05 05:00:00+00:00,12070,2024-12-05 05:00:00+00:00,34.1,31.9,91.64,0.02,snow,0.08,0.28,23.0,13.7,220,1001.4,100.0,0,0.0,0,10
