Time,Actual Solar Output,Predicted Solar Output (Linear)
4633,307.0,280.9687176217999
4634,356.0,315.02879193191376
4635,356.0,360.3168420534526
4636,346.0,366.785261814209
4637,353.0,358.59348303334303
4638,358.0,363.00764251448874
4640,368.0,356.39996653217537
4641,334.0,374.89928498614944
4642,319.0,350.3474512948565
4693,14.0,24.0215741468116
4694,12.0,13.480767646927116
4695,12.0,10.6543347918395
4696,3.0,10.390317658747403
4697,3.0,3.017716755968081
4698,3.0,1.8296396570536473
4699,3.0,1.8296396570536473
4700,1.0,1.8296396570536402
4701,0.0,0.19128390088045677
4702,0.0,-0.8919111102982313
