datetime,temp,dew,humidity,precip,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,solarradiation,solarenergy,uvindex,severerisk
2022-10-01T00:00:00,54.8,42.2,62.51,0,,0,0,2.2,0,0,1023.1,96.5,0,0,0,10
2022-10-01T01:00:00,53.7,44.9,72.16,0,,0,0,3.1,3.2,350,1022.4,96.5,0,0,0,10
2022-10-01T02:00:00,52.8,44.9,74.42,0,,0,0,5.4,3.3,340,1022,97.3,0,0,0,10
2022-10-01T03:00:00,52.8,44.9,74.55,0,,0,0,5.6,3.2,360,1021.8,96.5,0,0,0,10
2022-10-01T04:00:00,51.8,44.9,77.31,0,,0,0,4.5,3.2,350,1021.2,96.5,0,0,0,10
2022-10-01T05:00:00,52.8,44.1,72.11,0,,0,0,9.4,4.5,340,1021.3,96.5,0,0,0,10
2022-10-01T06:00:00,52.8,43.1,69.47,0,,0,0,9.6,5.6,360,1021.5,96.5,0,0,0,10
2022-10-01T07:00:00,52.9,43.1,69.4,0,,0,0,9.6,6.7,360,1021.3,96.5,3,0,0,10
2022-10-01T08:00:00,53.8,43.2,67.28,0,,0,0,9.2,4.5,350,1021.5,96.5,15,0.1,0,10
2022-10-01T09:00:00,53.9,43.3,67.28,0,,0,0,6.3,5.6,340,1022.3,100,22,0.1,0,10
2022-10-01T10:00:00,53.9,45.1,72.14,0,,0,0,6,4.6,332,1021.9,99.9,37,0.1,0,10
2022-10-01T11:00:00,54,47.1,77.59,0.012,rain,0,0,4.3,7.8,11,1021.2,99.9,34,0.1,0,10
2022-10-01T12:00:00,54,48,80.1,0.012,rain,0,0,8.5,8,50,1020.7,100,68,0.2,1,10
2022-10-01T13:00:00,56,51.2,83.76,0,rain,0,0,13.4,10,59,1020.1,100,82,0.3,1,10
2022-10-01T14:00:00,57.8,50,75.24,0,,0,0,11.9,10.2,49,1019.8,100,148,0.5,1,10
2022-10-01T15:00:00,57,48,71.91,0,,0,0,12.5,12.6,30,1019.1,100,110,0.4,1,10
2022-10-01T16:00:00,57,48,71.92,0,,0,0,14.3,10.2,10,1019.1,100,55,0.2,1,10
