BeginDate,Coal,Hydro,Natural Gas,Nuclear,Oil,Other,Landfill Gas,Refuse,Solar,Wind,Wood
2024-10-02T00:01:52.000-04:00,0,253.0,5721.0,3322.0,0.0,62.0,20.0,343.0,0.0,315.0,52.0
2024-10-02T00:07:37.000-04:00,0,252.0,5799.0,3322.0,0.0,8.0,20.0,335.0,0.0,322.0,52.0
2024-10-02T00:12:40.000-04:00,0,253.0,5796.0,3323.0,0.0,0.0,20.0,338.0,0.0,325.0,50.0
2024-10-02T00:20:02.000-04:00,0,251.0,5677.0,3319.0,0.0,3.0,20.0,341.0,0.0,331.0,52.0
2024-10-02T00:22:13.000-04:00,0,252.0,5689.0,3319.0,0.0,0.0,20.0,342.0,0.0,335.0,51.0
2024-10-02T00:31:09.000-04:00,0,249.0,5936.0,3320.0,0.0,1.0,20.0,339.0,0.0,332.0,49.0
2024-10-02T00:39:10.000-04:00,0,250.0,5755.0,3322.0,0.0,17.0,20.0,338.0,0.0,345.0,50.0
2024-10-02T00:43:00.000-04:00,0,249.0,5713.0,3319.0,0.0,3.0,20.0,336.0,0.0,340.0,51.0
2024-10-02T00:46:46.000-04:00,0,248.0,5674.0,3317.0,0.0,0.0,20.0,338.0,0.0,329.0,51.0
2024-10-02T00:49:43.000-04:00,0,249.0,5633.0,3314.0,0.0,1.0,20.0,340.0,0.0,321.0,50.0
2024-10-02T00:56:06.000-04:00,0,246.0,5655.0,3309.0,0.0,0.0,20.0,348.0,0.0,320.0,51.0
2024-10-02T00:59:21.000-04:00,0,248.0,5652.0,3312.0,0.0,0.0,20.0,350.0,0.0,317.0,50.0
2024-10-02T01:01:23.000-04:00,0,245.0,5644.0,3309.0,0.0,0.0,20.0,349.0,0.0,327.0,50.0
2024-10-02T01:03:40.000-04:00,0,248.0,5659.0,3314.0,0.0,2.0,20.0,348.0,0.0,328.0,51.0
2024-10-02T01:11:22.000-04:00,0,247.0,5691.0,3312.0,0.0,0.0,20.0,344.0,0.0,336.0,50.0
2024-10-02T01:16:00.000-04:00,0,248.0,5698.0,3312.0,0.0,0.0,20.0,346.0,0.0,342.0,50.0
2024-10-02T01:18:54.000-04:00,0,248.0,5698.0,3312.0,0.0,0.0,20.0,346.0,0.0,342.0,50.0
2024-10-02T01:24:45.000-04:00,0,246.0,5617.0,3310.0,0.0,0.0,20.0,343.0,0.0,351.0,50.0
2024-10-02T01:30:31.000-04:00,0,246.0,5503.0,3310.0,0.0,1.0,20.0,335.0,0.0,352.0,51.0
2024-10-02T01:37:50.000-04:00,0,247.0,5645.0,3311.0,0.0,31.0,20.0,340.0,0.0,370.0,51.0
2024-10-02T01:43:00.000-04:00,0,246.0,5667.0,3309.0,0.0,0.0,20.0,343.0,0.0,372.0,51.0
2024-10-02T01:48:42.000-04:00,0,247.0,5665.0,3311.0,0.0,0.0,20.0,342.0,0.0,363.0,51.0
2024-10-02T01:54:32.000-04:00,0,246.0,5637.0,3311.0,0.0,0.0,20.0,331.0,0.0,372.0,51.0
2024-10-02T01:58:52.000-04:00,0,245.0,5722.0,3312.0,0.0,0.0,20.0,340.0,0.0,378.0,50.0
2024-10-02T02:03:39.000-04:00,0,247.0,5577.0,3311.0,0.0,18.0,20.0,342.0,0.0,378.0,50.0
2024-10-02T02:10:41.000-04:00,0,246.0,5512.0,3311.0,0.0,13.0,20.0,343.0,0.0,366.0,51.0
2024-10-02T02:14:10.000-04:00,0,247.0,5517.0,3311.0,0.0,0.0,20.0,345.0,0.0,367.0,51.0
2024-10-02T02:18:14.000-04:00,0,250.0,5472.0,3310.0,0.0,0.0,20.0,339.0,0.0,372.0,50.0
2024-10-02T02:21:47.000-04:00,0,249.0,5448.0,3311.0,0.0,0.0,20.0,331.0,0.0,369.0,51.0
2024-10-02T02:24:07.000-04:00,0,249.0,5415.0,3311.0,0.0,0.0,20.0,331.0,0.0,368.0,51.0
2024-10-02T02:25:10.000-04:00,0,249.0,5402.0,3309.0,0.0,10.0,20.0,332.0,0.0,372.0,50.0
2024-10-02T02:31:41.000-04:00,0,250.0,5456.0,3310.0,0.0,0.0,20.0,343.0,0.0,367.0,51.0
2024-10-02T02:39:36.000-04:00,0,250.0,5462.0,3311.0,0.0,6.0,19.0,336.0,0.0,360.0,51.0
2024-10-02T02:47:10.000-04:00,0,249.0,5388.0,3310.0,0.0,0.0,20.0,335.0,0.0,349.0,52.0
2024-10-02T02:52:44.000-04:00,0,249.0,5382.0,3308.0,0.0,0.0,20.0,338.0,0.0,338.0,51.0
