BeginDate,LoadMw
2025-02-07T00:00:00.000-05:00,13080
2025-02-07T01:00:00.000-05:00,12650
2025-02-07T02:00:00.000-05:00,12410
2025-02-07T03:00:00.000-05:00,12350
2025-02-07T04:00:00.000-05:00,12630
2025-02-07T05:00:00.000-05:00,13470
2025-02-07T06:00:00.000-05:00,14980
2025-02-07T07:00:00.000-05:00,15770
2025-02-07T08:00:00.000-05:00,15360
2025-02-07T09:00:00.000-05:00,14520
2025-02-07T10:00:00.000-05:00,13900
2025-02-07T11:00:00.000-05:00,13310
2025-02-07T12:00:00.000-05:00,13200
2025-02-07T13:00:00.000-05:00,13370
2025-02-07T14:00:00.000-05:00,13770
2025-02-07T15:00:00.000-05:00,14660
2025-02-07T16:00:00.000-05:00,15940
2025-02-07T17:00:00.000-05:00,16990
2025-02-07T18:00:00.000-05:00,17100
2025-02-07T19:00:00.000-05:00,16660
2025-02-07T20:00:00.000-05:00,16260
2025-02-07T21:00:00.000-05:00,15550
2025-02-07T22:00:00.000-05:00,14720
2025-02-07T23:00:00.000-05:00,13890
2025-02-08T00:00:00.000-05:00,13290
2025-02-08T01:00:00.000-05:00,12950
2025-02-08T02:00:00.000-05:00,12750
2025-02-08T03:00:00.000-05:00,12720
2025-02-08T04:00:00.000-05:00,12830
2025-02-08T05:00:00.000-05:00,13360
2025-02-08T06:00:00.000-05:00,14490
2025-02-08T07:00:00.000-05:00,14680
2025-02-08T08:00:00.000-05:00,14500
2025-02-08T09:00:00.000-05:00,14010
2025-02-08T10:00:00.000-05:00,13560
2025-02-08T11:00:00.000-05:00,13230
2025-02-08T12:00:00.000-05:00,13140
2025-02-08T13:00:00.000-05:00,13160
2025-02-08T14:00:00.000-05:00,13480
2025-02-08T15:00:00.000-05:00,14180
2025-02-08T16:00:00.000-05:00,15210
2025-02-08T17:00:00.000-05:00,16390
2025-02-08T18:00:00.000-05:00,16550
2025-02-08T19:00:00.000-05:00,16030
2025-02-08T20:00:00.000-05:00,15520
2025-02-08T21:00:00.000-05:00,14960
2025-02-08T22:00:00.000-05:00,14110
2025-02-08T23:00:00.000-05:00,13410
